,IND,USA,CHN,TWN,ISR,CAN,VNM,MYS,CRI,FRA,GBR,KOR,MEX,ESP,BRA,IRL,ITA,ROU,DEU,POL,RUS,SGP,SAU,TUR,NGA,ARE,COL,ZAF
IND,88,12,44,8,7,5,25,4,1,6,20,10,0,1,0,9,12,9,5,0,0,20,12,11,1,29,1,27
USA,29,45,124,62,39,39,41,0,18,4,16,38,3,3,5,34,12,11,14,5,12,11,13,9,3,19,5,8
CHN,0,0,40,3,0,1,12,0,1,0,0,4,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
TWN,0,0,6,13,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ISR,0,4,11,7,50,5,12,0,2,2,3,0,0,1,0,8,0,0,3,0,8,3,9,2,1,3,0,1
CAN,0,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0
VNM,0,0,1,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYS,0,0,9,0,0,3,4,12,0,0,0,6,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
CRI,0,0,0,0,0,0,0,0,6,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
FRA,0,1,3,1,1,1,1,0,0,0,1,0,2,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0
GBR,0,2,5,2,1,1,0,0,0,0,3,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0
KOR,0,0,2,0,0,1,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,0,1,0,0,0,0,0,0,2,0,0,0,7,1,1,0,0,0,0,0,2,0,0,0,0,0,2,0
ESP,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,2,0,0,0,0,1,0,1,0,0,0
BRA,0,0,0,0,1,1,0,0,5,1,0,0,0,3,6,0,0,1,0,0,1,0,1,0,0,0,1,1
IRL,1,3,4,2,4,0,0,1,0,0,1,1,0,1,2,9,1,2,0,1,0,0,0,0,0,1,0,0
ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,0,1,0,0,1,0,0
ROU,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0
DEU,0,1,6,1,0,0,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0
POL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,1,0
RUS,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
SGP,1,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
SAU,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0
TUR,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
NGA,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ARE,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
COL,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
ZAF,0,0,1,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
