,IND,USA,CHN,ISR,CAN,MYS,CRI,FRA,GBR,KOR,MEX,ESP,BRA,IRL,ITA,DEU,NLD,ARG,POL,PAK,RUS,SGP,ARE,COL
IND,44,5,46,8,2,5,3,1,5,5,5,1,1,7,1,1,4,4,15,54,9,29,19,6
USA,4,2,47,9,0,2,3,10,14,13,9,5,5,24,6,2,3,19,16,11,7,7,7,6
CHN,3,0,23,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,2,1,0,0,0,0
ISR,0,1,3,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,3,4,0,2,1
CAN,0,0,4,0,0,0,0,1,0,1,0,0,0,4,0,1,0,2,0,0,0,2,0,0
MYS,0,0,5,0,0,7,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0,2,0,1
CRI,0,0,0,0,0,0,1,0,0,0,5,0,0,1,1,0,0,1,0,0,0,0,0,5
FRA,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
GBR,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,2,1,1,0,0
KOR,0,0,1,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MEX,1,0,1,0,0,0,5,0,0,0,7,0,0,1,0,0,0,1,0,1,1,0,0,8
ESP,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,2
BRA,0,0,0,1,0,0,0,0,0,0,10,0,2,1,2,0,0,1,1,1,1,0,0,6
IRL,1,0,0,2,0,0,0,0,1,0,1,0,0,3,0,0,1,3,2,4,0,1,0,0
ITA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,2,0,0,0,0
DEU,1,0,1,1,0,1,0,0,0,0,3,0,1,1,0,0,0,1,3,0,1,0,0,0
NLD,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0
ARG,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,1,1,0,0,0,0,1
POL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0
PAK,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
RUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1
SGP,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0
ARE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0
COL,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,3
